id_frequencia,id_matricula,data_aula,status_presenca
1,8220,2025-11-05,Presente
2,8220,2025-10-29,Presente
3,8220,2025-10-22,Presente
4,8220,2025-10-15,Ausente
5,8220,2025-10-08,Ausente
6,2015,2025-11-05,Ausente
7,2015,2025-10-29,Presente
8,2015,2025-10-22,Presente
9,2015,2025-10-15,Presente
10,2015,2025-10-08,Ausente
11,3030,2025-11-05,Presente
12,3030,2025-10-29,Presente
13,3030,2025-10-22,Presente
14,3030,2025-10-15,Ausente
15,3030,2025-10-08,Presente
16,5890,2025-11-05,Presente
17,5890,2025-10-29,Presente
18,5890,2025-10-22,Presente
19,5890,2025-10-15,Ausente
20,5890,2025-10-08,Presente
21,8801,2025-11-05,Presente
22,8801,2025-10-29,Presente
23,8801,2025-10-22,Presente
24,8801,2025-10-15,Presente
25,8801,2025-10-08,Presente
26,8274,2025-11-05,Presente
27,8274,2025-10-29,Presente
28,8274,2025-10-22,Presente
29,8274,2025-10-15,Presente
30,8274,2025-10-08,Presente
31,1136,2025-11-05,Presente
32,1136,2025-10-29,Presente
33,1136,2025-10-22,Presente
34,1136,2025-10-15,Presente
35,1136,2025-10-08,Presente
36,3823,2025-11-05,Presente
37,3823,2025-10-29,Presente
38,3823,2025-10-22,Ausente
39,3823,2025-10-15,Ausente
40,3823,2025-10-08,Presente
41,1643,2025-11-05,Presente
42,1643,2025-10-29,Presente
43,1643,2025-10-22,Presente
44,1643,2025-10-15,Ausente
45,1643,2025-10-08,Presente
46,3480,2025-11-05,Presente
47,3480,2025-10-29,Presente
48,3480,2025-10-22,Ausente
49,3480,2025-10-15,Presente
50,3480,2025-10-08,Presente
51,4498,2025-11-05,Presente
52,4498,2025-10-29,Presente
53,4498,2025-10-22,Presente
54,4498,2025-10-15,Presente
55,4498,2025-10-08,Ausente
56,6855,2025-11-05,Ausente
57,6855,2025-10-29,Presente
58,6855,2025-10-22,Ausente
59,6855,2025-10-15,Ausente
60,6855,2025-10-08,Presente
61,5237,2025-11-05,Ausente
62,5237,2025-10-29,Presente
63,5237,2025-10-22,Ausente
64,5237,2025-10-15,Presente
65,5237,2025-10-08,Presente
66,3671,2025-11-05,Ausente
67,3671,2025-10-29,Presente
68,3671,2025-10-22,Ausente
69,3671,2025-10-15,Presente
70,3671,2025-10-08,Presente
71,6055,2025-11-05,Presente
72,6055,2025-10-29,Presente
73,6055,2025-10-22,Presente
74,6055,2025-10-15,Ausente
75,6055,2025-10-08,Presente
76,276,2025-11-05,Presente
77,276,2025-10-29,Presente
78,276,2025-10-22,Presente
79,276,2025-10-15,Ausente
80,276,2025-10-08,Presente
81,7227,2025-11-05,Presente
82,7227,2025-10-29,Presente
83,7227,2025-10-22,Presente
84,7227,2025-10-15,Presente
85,7227,2025-10-08,Presente
86,9545,2025-11-05,Presente
87,9545,2025-10-29,Presente
88,9545,2025-10-22,Presente
89,9545,2025-10-15,Presente
90,9545,2025-10-08,Presente
91,4088,2025-11-05,Presente
92,4088,2025-10-29,Presente
93,4088,2025-10-22,Presente
94,4088,2025-10-15,Presente
95,4088,2025-10-08,Presente
96,8890,2025-11-05,Presente
97,8890,2025-10-29,Presente
98,8890,2025-10-22,Presente
99,8890,2025-10-15,Ausente
100,8890,2025-10-08,Presente
101,2848,2025-11-05,Ausente
102,2848,2025-10-29,Ausente
103,2848,2025-10-22,Presente
104,2848,2025-10-15,Presente
105,2848,2025-10-08,Presente
106,6304,2025-11-05,Presente
107,6304,2025-10-29,Presente
108,6304,2025-10-22,Presente
109,6304,2025-10-15,Ausente
110,6304,2025-10-08,Presente
111,4592,2025-11-05,Presente
112,4592,2025-10-29,Ausente
113,4592,2025-10-22,Ausente
114,4592,2025-10-15,Presente
115,4592,2025-10-08,Ausente
116,4887,2025-11-05,Presente
117,4887,2025-10-29,Presente
118,4887,2025-10-22,Ausente
119,4887,2025-10-15,Ausente
120,4887,2025-10-08,Ausente
121,4047,2025-11-05,Ausente
122,4047,2025-10-29,Presente
123,4047,2025-10-22,Ausente
124,4047,2025-10-15,Presente
125,4047,2025-10-08,Presente
126,5640,2025-11-05,Presente
127,5640,2025-10-29,Presente
128,5640,2025-10-22,Presente
129,5640,2025-10-15,Presente
130,5640,2025-10-08,Presente
131,7416,2025-11-05,Ausente
132,7416,2025-10-29,Ausente
133,7416,2025-10-22,Ausente
134,7416,2025-10-15,Presente
135,7416,2025-10-08,Ausente
136,6345,2025-11-05,Presente
137,6345,2025-10-29,Ausente
138,6345,2025-10-22,Presente
139,6345,2025-10-15,Presente
140,6345,2025-10-08,Presente
141,3251,2025-11-05,Presente
142,3251,2025-10-29,Ausente
143,3251,2025-10-22,Presente
144,3251,2025-10-15,Presente
145,3251,2025-10-08,Presente
146,943,2025-11-05,Ausente
147,943,2025-10-29,Ausente
148,943,2025-10-22,Ausente
149,943,2025-10-15,Ausente
150,943,2025-10-08,Presente
151,476,2025-11-05,Presente
152,476,2025-10-29,Ausente
153,476,2025-10-22,Presente
154,476,2025-10-15,Presente
155,476,2025-10-08,Ausente
156,2521,2025-11-05,Presente
157,2521,2025-10-29,Presente
158,2521,2025-10-22,Presente
159,2521,2025-10-15,Presente
160,2521,2025-10-08,Ausente
161,3326,2025-11-05,Presente
162,3326,2025-10-29,Ausente
163,3326,2025-10-22,Presente
164,3326,2025-10-15,Presente
165,3326,2025-10-08,Ausente
166,3298,2025-11-05,Presente
167,3298,2025-10-29,Presente
168,3298,2025-10-22,Presente
169,3298,2025-10-15,Ausente
170,3298,2025-10-08,Presente
171,4832,2025-11-05,Presente
172,4832,2025-10-29,Presente
173,4832,2025-10-22,Presente
174,4832,2025-10-15,Ausente
175,4832,2025-10-08,Presente
176,2532,2025-11-05,Presente
177,2532,2025-10-29,Presente
178,2532,2025-10-22,Presente
179,2532,2025-10-15,Ausente
180,2532,2025-10-08,Ausente
181,3421,2025-11-05,Presente
182,3421,2025-10-29,Presente
183,3421,2025-10-22,Presente
184,3421,2025-10-15,Ausente
185,3421,2025-10-08,Presente
186,3000,2025-11-05,Presente
187,3000,2025-10-29,Ausente
188,3000,2025-10-22,Ausente
189,3000,2025-10-15,Presente
190,3000,2025-10-08,Ausente
191,5055,2025-11-05,Presente
192,5055,2025-10-29,Ausente
193,5055,2025-10-22,Ausente
194,5055,2025-10-15,Ausente
195,5055,2025-10-08,Presente
196,6973,2025-11-05,Presente
197,6973,2025-10-29,Presente
198,6973,2025-10-22,Presente
199,6973,2025-10-15,Presente
200,6973,2025-10-08,Presente
201,7653,2025-11-05,Presente
202,7653,2025-10-29,Ausente
203,7653,2025-10-22,Presente
204,7653,2025-10-15,Presente
205,7653,2025-10-08,Presente
206,3721,2025-11-05,Presente
207,3721,2025-10-29,Presente
208,3721,2025-10-22,Presente
209,3721,2025-10-15,Presente
210,3721,2025-10-08,Presente
211,5837,2025-11-05,Presente
212,5837,2025-10-29,Presente
213,5837,2025-10-22,Presente
214,5837,2025-10-15,Presente
215,5837,2025-10-08,Presente
216,2024,2025-11-05,Presente
217,2024,2025-10-29,Presente
218,2024,2025-10-22,Ausente
219,2024,2025-10-15,Presente
220,2024,2025-10-08,Presente
221,995,2025-11-05,Presente
222,995,2025-10-29,Ausente
223,995,2025-10-22,Presente
224,995,2025-10-15,Presente
225,995,2025-10-08,Presente
226,8774,2025-11-05,Ausente
227,8774,2025-10-29,Presente
228,8774,2025-10-22,Ausente
229,8774,2025-10-15,Presente
230,8774,2025-10-08,Ausente
231,2727,2025-11-05,Ausente
232,2727,2025-10-29,Presente
233,2727,2025-10-22,Presente
234,2727,2025-10-15,Ausente
235,2727,2025-10-08,Presente
236,7320,2025-11-05,Presente
237,7320,2025-10-29,Presente
238,7320,2025-10-22,Presente
239,7320,2025-10-15,Presente
240,7320,2025-10-08,Presente
241,899,2025-11-05,Ausente
242,899,2025-10-29,Presente
243,899,2025-10-22,Ausente
244,899,2025-10-15,Presente
245,899,2025-10-08,Presente
246,4175,2025-11-05,Ausente
247,4175,2025-10-29,Ausente
248,4175,2025-10-22,Presente
249,4175,2025-10-15,Ausente
250,4175,2025-10-08,Ausente
251,7926,2025-11-05,Presente
252,7926,2025-10-29,Presente
253,7926,2025-10-22,Presente
254,7926,2025-10-15,Presente
255,7926,2025-10-08,Ausente
256,1931,2025-11-05,Presente
257,1931,2025-10-29,Presente
258,1931,2025-10-22,Presente
259,1931,2025-10-15,Presente
260,1931,2025-10-08,Presente
261,5533,2025-11-05,Presente
262,5533,2025-10-29,Presente
263,5533,2025-10-22,Ausente
264,5533,2025-10-15,Presente
265,5533,2025-10-08,Presente
266,3375,2025-11-05,Presente
267,3375,2025-10-29,Presente
268,3375,2025-10-22,Presente
269,3375,2025-10-15,Presente
270,3375,2025-10-08,Presente
271,98,2025-11-05,Ausente
272,98,2025-10-29,Ausente
273,98,2025-10-22,Presente
274,98,2025-10-15,Ausente
275,98,2025-10-08,Presente
276,45,2025-11-05,Presente
277,45,2025-10-29,Ausente
278,45,2025-10-22,Ausente
279,45,2025-10-15,Presente
280,45,2025-10-08,Presente
281,3417,2025-11-05,Presente
282,3417,2025-10-29,Ausente
283,3417,2025-10-22,Presente
284,3417,2025-10-15,Presente
285,3417,2025-10-08,Presente
286,3933,2025-11-05,Presente
287,3933,2025-10-29,Presente
288,3933,2025-10-22,Presente
289,3933,2025-10-15,Presente
290,3933,2025-10-08,Presente
291,6439,2025-11-05,Presente
292,6439,2025-10-29,Ausente
293,6439,2025-10-22,Presente
294,6439,2025-10-15,Presente
295,6439,2025-10-08,Presente
296,471,2025-11-05,Ausente
297,471,2025-10-29,Presente
298,471,2025-10-22,Ausente
299,471,2025-10-15,Presente
300,471,2025-10-08,Presente
301,749,2025-11-05,Presente
302,749,2025-10-29,Presente
303,749,2025-10-22,Presente
304,749,2025-10-15,Presente
305,749,2025-10-08,Presente
306,621,2025-11-05,Presente
307,621,2025-10-29,Presente
308,621,2025-10-22,Ausente
309,621,2025-10-15,Presente
310,621,2025-10-08,Ausente
311,1980,2025-11-05,Ausente
312,1980,2025-10-29,Ausente
313,1980,2025-10-22,Ausente
314,1980,2025-10-15,Presente
315,1980,2025-10-08,Presente
316,1601,2025-11-05,Ausente
317,1601,2025-10-29,Ausente
318,1601,2025-10-22,Ausente
319,1601,2025-10-15,Presente
320,1601,2025-10-08,Presente
321,1787,2025-11-05,Presente
322,1787,2025-10-29,Ausente
323,1787,2025-10-22,Presente
324,1787,2025-10-15,Ausente
325,1787,2025-10-08,Presente
326,8149,2025-11-05,Ausente
327,8149,2025-10-29,Ausente
328,8149,2025-10-22,Presente
329,8149,2025-10-15,Ausente
330,8149,2025-10-08,Ausente
331,498,2025-11-05,Presente
332,498,2025-10-29,Ausente
333,498,2025-10-22,Presente
334,498,2025-10-15,Presente
335,498,2025-10-08,Ausente
336,582,2025-11-05,Ausente
337,582,2025-10-29,Presente
338,582,2025-10-22,Presente
339,582,2025-10-15,Presente
340,582,2025-10-08,Presente
341,4287,2025-11-05,Presente
342,4287,2025-10-29,Ausente
343,4287,2025-10-22,Ausente
344,4287,2025-10-15,Ausente
345,4287,2025-10-08,Ausente
346,4942,2025-11-05,Presente
347,4942,2025-10-29,Ausente
348,4942,2025-10-22,Ausente
349,4942,2025-10-15,Presente
350,4942,2025-10-08,Ausente
351,1022,2025-11-05,Presente
352,1022,2025-10-29,Presente
353,1022,2025-10-22,Presente
354,1022,2025-10-15,Presente
355,1022,2025-10-08,Presente
356,6018,2025-11-05,Presente
357,6018,2025-10-29,Presente
358,6018,2025-10-22,Presente
359,6018,2025-10-15,Presente
360,6018,2025-10-08,Presente
361,4291,2025-11-05,Presente
362,4291,2025-10-29,Ausente
363,4291,2025-10-22,Presente
364,4291,2025-10-15,Presente
365,4291,2025-10-08,Presente
366,993,2025-11-05,Presente
367,993,2025-10-29,Presente
368,993,2025-10-22,Presente
369,993,2025-10-15,Presente
370,993,2025-10-08,Ausente
371,4888,2025-11-05,Presente
372,4888,2025-10-29,Ausente
373,4888,2025-10-22,Presente
374,4888,2025-10-15,Presente
375,4888,2025-10-08,Presente
376,6652,2025-11-05,Presente
377,6652,2025-10-29,Presente
378,6652,2025-10-22,Presente
379,6652,2025-10-15,Presente
380,6652,2025-10-08,Presente
381,3446,2025-11-05,Presente
382,3446,2025-10-29,Ausente
383,3446,2025-10-22,Presente
384,3446,2025-10-15,Presente
385,3446,2025-10-08,Ausente
386,6884,2025-11-05,Presente
387,6884,2025-10-29,Ausente
388,6884,2025-10-22,Ausente
389,6884,2025-10-15,Presente
390,6884,2025-10-08,Presente
391,4080,2025-11-05,Presente
392,4080,2025-10-29,Presente
393,4080,2025-10-22,Presente
394,4080,2025-10-15,Ausente
395,4080,2025-10-08,Presente
396,9472,2025-11-05,Ausente
397,9472,2025-10-29,Presente
398,9472,2025-10-22,Presente
399,9472,2025-10-15,Presente
400,9472,2025-10-08,Presente
401,7636,2025-11-05,Presente
402,7636,2025-10-29,Presente
403,7636,2025-10-22,Ausente
404,7636,2025-10-15,Presente
405,7636,2025-10-08,Presente
406,8816,2025-11-05,Presente
407,8816,2025-10-29,Presente
408,8816,2025-10-22,Presente
409,8816,2025-10-15,Presente
410,8816,2025-10-08,Presente
411,6547,2025-11-05,Ausente
412,6547,2025-10-29,Presente
413,6547,2025-10-22,Presente
414,6547,2025-10-15,Presente
415,6547,2025-10-08,Ausente
416,1644,2025-11-05,Presente
417,1644,2025-10-29,Ausente
418,1644,2025-10-22,Presente
419,1644,2025-10-15,Presente
420,1644,2025-10-08,Presente
421,5318,2025-11-05,Presente
422,5318,2025-10-29,Presente
423,5318,2025-10-22,Ausente
424,5318,2025-10-15,Presente
425,5318,2025-10-08,Ausente
426,9143,2025-11-05,Presente
427,9143,2025-10-29,Presente
428,9143,2025-10-22,Ausente
429,9143,2025-10-15,Ausente
430,9143,2025-10-08,Presente
431,8172,2025-11-05,Ausente
432,8172,2025-10-29,Presente
433,8172,2025-10-22,Presente
434,8172,2025-10-15,Presente
435,8172,2025-10-08,Ausente
436,54,2025-11-05,Presente
437,54,2025-10-29,Presente
438,54,2025-10-22,Presente
439,54,2025-10-15,Ausente
440,54,2025-10-08,Presente
441,8696,2025-11-05,Presente
442,8696,2025-10-29,Presente
443,8696,2025-10-22,Presente
444,8696,2025-10-15,Ausente
445,8696,2025-10-08,Presente
446,9771,2025-11-05,Presente
447,9771,2025-10-29,Presente
448,9771,2025-10-22,Presente
449,9771,2025-10-15,Presente
450,9771,2025-10-08,Ausente
