id_matricula,id_aluno,id_turma
1,1,4
2,1,86
3,1,85
4,1,44
5,1,3
6,2,86
7,2,3
8,2,2
9,2,5
10,2,47
11,3,4
12,3,1
13,3,88
14,3,45
15,3,47
16,4,3
17,4,6
18,4,87
19,4,48
20,4,2
21,5,89
22,5,3
23,5,4
24,5,48
25,5,86
26,6,89
27,6,85
28,6,6
29,6,4
30,6,87
31,7,87
32,7,89
33,7,90
34,7,1
35,7,45
36,8,45
37,8,2
38,8,6
39,8,44
40,8,46
41,9,48
42,9,47
43,9,4
44,9,2
45,9,43
46,10,44
47,10,89
48,10,2
49,10,46
50,10,85
51,11,85
52,11,5
53,11,44
54,11,43
55,11,46
56,12,48
57,12,46
58,12,1
59,12,6
60,12,86
61,13,46
62,13,44
63,13,89
64,13,1
65,13,43
66,14,89
67,14,45
68,14,90
69,14,44
70,14,6
71,15,1
72,15,45
73,15,90
74,15,5
75,15,43
76,16,45
77,16,86
78,16,1
79,16,88
80,16,2
81,17,87
82,17,44
83,17,3
84,17,43
85,17,6
86,18,44
87,18,4
88,18,48
89,18,87
90,18,3
91,19,90
92,19,86
93,19,5
94,19,43
95,19,44
96,20,87
97,20,48
98,20,85
99,20,44
100,20,47
101,21,45
102,21,87
103,21,47
104,21,5
105,21,48
106,22,48
107,22,3
108,22,6
109,22,1
110,22,47
111,23,46
112,23,43
113,23,86
114,23,45
115,23,90
116,24,90
117,24,88
118,24,86
119,24,46
120,24,45
121,25,48
122,25,46
123,25,4
124,25,47
125,25,89
126,26,44
127,26,85
128,26,88
129,26,5
130,26,2
131,27,89
132,27,88
133,27,6
134,27,47
135,27,3
136,28,89
137,28,46
138,28,86
139,28,1
140,28,47
141,29,89
142,29,48
143,29,85
144,29,86
145,29,4
146,30,43
147,30,44
148,30,90
149,30,85
150,30,87
151,31,86
152,31,45
153,31,47
154,31,90
155,31,46
156,32,45
157,32,2
158,32,6
159,32,86
160,32,4
161,33,90
162,33,5
163,33,86
164,33,3
165,33,46
166,34,44
167,34,48
168,34,46
169,34,85
170,34,45
171,35,88
172,35,90
173,35,48
174,35,85
175,35,5
176,36,87
177,36,4
178,36,90
179,36,1
180,36,5
181,37,86
182,37,90
183,37,6
184,37,4
185,37,45
186,38,6
187,38,46
188,38,85
189,38,90
190,38,3
191,39,45
192,39,90
193,39,43
194,39,47
195,39,48
196,40,2
197,40,1
198,40,86
199,40,85
200,40,44
201,41,2
202,41,5
203,41,44
204,41,47
205,41,1
206,42,85
207,42,4
208,42,43
209,42,46
210,42,44
211,43,85
212,43,90
213,43,43
214,43,45
215,43,46
216,44,4
217,44,85
218,44,90
219,44,6
220,44,1
221,45,5
222,45,3
223,45,6
224,45,46
225,45,2
226,46,44
227,46,4
228,46,89
229,46,45
230,46,86
231,47,89
232,47,5
233,47,47
234,47,43
235,47,6
236,48,44
237,48,4
238,48,3
239,48,2
240,48,43
241,49,85
242,49,4
243,49,90
244,49,1
245,49,5
246,50,88
247,50,3
248,50,45
249,50,86
250,50,6
251,51,90
252,51,48
253,51,5
254,51,87
255,51,4
256,52,87
257,52,44
258,52,1
259,52,43
260,52,85
261,53,48
262,53,89
263,53,1
264,53,46
265,53,88
266,54,89
267,54,48
268,54,85
269,54,86
270,54,47
271,55,87
272,55,86
273,55,4
274,55,48
275,55,45
276,56,90
277,56,45
278,56,89
279,56,47
280,56,5
281,57,85
282,57,4
283,57,88
284,57,48
285,57,89
286,58,43
287,58,88
288,58,2
289,58,5
290,58,45
291,59,45
292,59,87
293,59,90
294,59,88
295,59,4
296,60,89
297,60,5
298,60,4
299,60,43
300,60,86
301,61,5
302,61,1
303,61,47
304,61,85
305,61,88
306,62,88
307,62,1
308,62,4
309,62,85
310,62,5
311,63,43
312,63,6
313,63,89
314,63,44
315,63,45
316,64,43
317,64,1
318,64,6
319,64,48
320,64,89
321,65,90
322,65,4
323,65,1
324,65,47
325,65,87
326,66,46
327,66,45
328,66,1
329,66,47
330,66,4
331,67,47
332,67,2
333,67,4
334,67,44
335,67,3
336,68,88
337,68,87
338,68,48
339,68,6
340,68,47
341,69,43
342,69,90
343,69,4
344,69,89
345,69,2
346,70,47
347,70,87
348,70,43
349,70,1
350,70,2
351,71,4
352,71,43
353,71,46
354,71,88
355,71,5
356,72,4
357,72,5
358,72,86
359,72,3
360,72,43
361,73,86
362,73,48
363,73,5
364,73,4
365,73,90
366,74,86
367,74,6
368,74,90
369,74,1
370,74,47
371,75,43
372,75,6
373,75,45
374,75,89
375,75,2
376,76,46
377,76,4
378,76,44
379,76,5
380,76,88
381,77,86
382,77,88
383,77,48
384,77,6
385,77,44
386,78,1
387,78,46
388,78,86
389,78,6
390,78,88
391,79,47
392,79,89
393,79,4
394,79,45
395,79,46
396,80,47
397,80,44
398,80,46
399,80,48
400,80,45
401,81,89
402,81,48
403,81,90
404,81,47
405,81,43
406,82,45
407,82,3
408,82,47
409,82,85
410,82,6
411,83,5
412,83,3
413,83,44
414,83,87
415,83,43
416,84,1
417,84,45
418,84,90
419,84,2
420,84,44
421,85,3
422,85,89
423,85,86
424,85,44
425,85,6
426,86,48
427,86,87
428,86,43
429,86,86
430,86,89
431,87,6
432,87,5
433,87,89
434,87,48
435,87,47
436,88,2
437,88,6
438,88,46
439,88,90
440,88,48
441,89,85
442,89,44
443,89,47
444,89,89
445,89,2
446,90,88
447,90,86
448,90,90
449,90,44
450,90,43
451,91,88
452,91,48
453,91,47
454,91,85
455,91,5
456,92,85
457,92,90
458,92,45
459,92,46
460,92,86
461,93,5
462,93,48
463,93,47
464,93,89
465,93,2
466,94,47
467,94,4
468,94,43
469,94,2
470,94,87
471,95,48
472,95,43
473,95,1
474,95,3
475,95,2
476,96,46
477,96,90
478,96,44
479,96,5
480,96,6
481,97,46
482,97,90
483,97,88
484,97,85
485,97,43
486,98,85
487,98,3
488,98,4
489,98,2
490,98,46
491,99,88
492,99,87
493,99,2
494,99,47
495,99,90
496,100,90
497,100,86
498,100,89
499,100,4
500,100,87
501,101,46
502,101,6
503,101,3
504,101,48
505,101,47
506,102,4
507,102,45
508,102,85
509,102,86
510,102,3
511,103,87
512,103,45
513,103,46
514,103,1
515,103,86
516,104,43
517,104,87
518,104,44
519,104,88
520,104,48
521,105,88
522,105,90
523,105,2
524,105,44
525,105,89
526,106,87
527,106,45
528,106,3
529,106,2
530,106,43
531,107,90
532,107,43
533,107,44
534,107,48
535,107,3
536,108,1
537,108,3
538,108,44
539,108,86
540,108,87
541,109,89
542,109,86
543,109,87
544,109,88
545,109,45
546,110,1
547,110,2
548,110,48
549,110,46
550,110,44
551,111,87
552,111,5
553,111,86
554,111,6
555,111,48
556,112,48
557,112,45
558,112,90
559,112,89
560,112,87
561,113,4
562,113,47
563,113,1
564,113,87
565,113,2
566,114,6
567,114,90
568,114,2
569,114,88
570,114,46
571,115,43
572,115,4
573,115,45
574,115,86
575,115,6
576,116,90
577,116,3
578,116,2
579,116,1
580,116,44
581,117,4
582,117,1
583,117,85
584,117,43
585,117,90
586,118,86
587,118,47
588,118,90
589,118,44
590,118,43
591,119,5
592,119,87
593,119,43
594,119,4
595,119,47
596,120,2
597,120,4
598,120,48
599,120,47
600,120,44
601,121,3
602,121,89
603,121,85
604,121,47
605,121,2
606,122,87
607,122,48
608,122,44
609,122,90
610,122,5
611,123,44
612,123,43
613,123,86
614,123,6
615,123,1
616,124,87
617,124,90
618,124,86
619,124,5
620,124,45
621,125,4
622,125,85
623,125,1
624,125,43
625,125,3
626,126,90
627,126,46
628,126,43
629,126,87
630,126,2
631,127,47
632,127,46
633,127,48
634,127,44
635,127,87
636,128,85
637,128,3
638,128,4
639,128,2
640,128,5
641,129,46
642,129,89
643,129,45
644,129,87
645,129,6
646,130,45
647,130,90
648,130,43
