id_nota,id_matricula,tipo_avaliacao,valor_nota
1,8220,P1,9.3
2,8220,P2,7.3
3,2015,P1,3.6
4,2015,P2,7.3
5,3030,P1,6.6
6,3030,P2,7.4
7,5890,P1,6.1
8,5890,P2,9.3
9,8801,P1,9.0
10,8801,P2,5.0
11,8274,P1,4.4
12,8274,P2,9.6
13,1136,P1,8.4
14,1136,P2,5.6
15,3823,P1,4.7
16,3823,P2,6.0
17,1643,P1,5.5
18,1643,P2,4.9
19,3480,P1,5.6
20,3480,P2,5.4
21,4498,P1,3.7
22,4498,P2,5.4
23,6855,P1,7.6
24,6855,P2,8.8
25,5237,P1,5.7
26,5237,P2,9.6
27,3671,P1,7.6
28,3671,P2,9.4
29,6055,P1,7.9
30,6055,P2,7.3
31,276,P1,6.7
32,276,P2,9.0
33,7227,P1,3.3
34,7227,P2,6.9
35,9545,P1,9.1
36,9545,P2,4.0
37,4088,P1,8.5
38,4088,P2,5.6
39,8890,P1,9.0
40,8890,P2,5.3
41,2848,P1,5.3
42,2848,P2,8.9
43,6304,P1,4.0
44,6304,P2,5.6
45,4592,P1,7.7
46,4592,P2,4.4
47,4887,P1,6.3
48,4887,P2,4.5
49,4047,P1,6.2
50,4047,P2,9.5
51,5640,P1,8.3
52,5640,P2,8.2
53,7416,P1,7.6
54,7416,P2,7.8
55,6345,P1,3.1
56,6345,P2,8.4
57,3251,P1,6.3
58,3251,P2,5.1
59,943,P1,4.6
60,943,P2,5.4
61,476,P1,4.5
62,476,P2,7.7
63,2521,P1,4.3
64,2521,P2,9.5
65,3326,P1,3.5
66,3326,P2,4.3
67,3298,P1,4.1
68,3298,P2,9.2
69,4832,P1,5.1
70,4832,P2,6.6
71,2532,P1,4.5
72,2532,P2,4.7
73,3421,P1,4.9
74,3421,P2,6.5
75,3000,P1,7.0
76,3000,P2,4.3
77,5055,P1,5.9
78,5055,P2,5.4
79,6973,P1,8.8
80,6973,P2,8.9
81,7653,P1,7.7
82,7653,P2,10.0
83,3721,P1,8.8
84,3721,P2,6.4
85,5837,P1,8.8
86,5837,P2,8.0
87,2024,P1,3.6
88,2024,P2,7.1
89,995,P1,7.6
90,995,P2,6.4
91,8774,P1,9.1
92,8774,P2,8.1
93,2727,P1,4.4
94,2727,P2,5.5
95,7320,P1,3.9
96,7320,P2,8.0
97,899,P1,6.4
98,899,P2,7.6
99,4175,P1,5.7
100,4175,P2,8.4
101,7926,P1,5.7
102,7926,P2,9.9
103,1931,P1,9.1
104,1931,P2,9.2
105,5533,P1,3.2
106,5533,P2,9.8
107,3375,P1,4.1
108,3375,P2,8.5
109,98,P1,7.6
110,98,P2,8.0
111,45,P1,4.2
112,45,P2,9.5
113,3417,P1,4.9
114,3417,P2,6.7
115,3933,P1,3.7
116,3933,P2,5.6
117,6439,P1,6.2
118,6439,P2,4.4
119,471,P1,9.2
120,471,P2,6.9
121,749,P1,5.5
122,749,P2,7.0
123,621,P1,4.8
124,621,P2,7.8
125,1980,P1,4.6
126,1980,P2,5.3
127,1601,P1,6.2
128,1601,P2,4.7
129,1787,P1,6.1
130,1787,P2,5.5
131,8149,P1,5.5
132,8149,P2,8.3
133,498,P1,8.7
134,498,P2,5.7
135,582,P1,3.9
136,582,P2,5.0
137,4287,P1,3.8
138,4287,P2,9.2
139,4942,P1,5.2
140,4942,P2,6.3
141,1022,P1,4.2
142,1022,P2,9.5
143,6018,P1,5.1
144,6018,P2,5.4
145,4291,P1,6.2
146,4291,P2,7.1
147,993,P1,4.5
148,993,P2,6.7
149,4888,P1,9.4
150,4888,P2,6.1
151,6652,P1,3.6
152,6652,P2,9.0
153,3446,P1,4.2
154,3446,P2,7.3
155,6884,P1,5.1
156,6884,P2,5.9
157,4080,P1,6.5
158,4080,P2,9.3
159,9472,P1,8.5
160,9472,P2,9.1
161,7636,P1,8.0
162,7636,P2,6.2
163,8816,P1,8.3
164,8816,P2,6.6
165,6547,P1,4.4
166,6547,P2,8.1
167,1644,P1,6.2
168,1644,P2,4.3
169,5318,P1,3.4
170,5318,P2,9.7
171,9143,P1,9.1
172,9143,P2,5.1
173,8172,P1,8.4
174,8172,P2,4.1
175,54,P1,6.0
176,54,P2,7.3
177,8696,P1,8.8
178,8696,P2,5.1
179,9771,P1,6.0
180,9771,P2,4.5
181,8352,P1,7.3
182,8352,P2,6.3
183,2746,P1,5.9
184,2746,P2,4.5
185,2528,P1,6.9
186,2528,P2,4.2
187,2467,P1,3.1
188,2467,P2,6.0
189,2962,P1,8.5
190,2962,P2,6.8
191,8614,P1,3.7
192,8614,P2,5.0
193,1067,P1,4.8
194,1067,P2,8.9
195,2699,P1,4.9
196,2699,P2,5.5
197,9018,P1,7.8
198,9018,P2,4.2
199,1948,P1,5.2
200,1948,P2,8.8
201,1778,P1,5.3
202,1778,P2,8.4
203,6852,P1,4.7
204,6852,P2,9.3
205,3504,P1,6.7
206,3504,P2,9.4
207,4140,P1,7.6
208,4140,P2,9.0
209,8560,P1,4.9
210,8560,P2,7.0
211,6355,P1,4.2
212,6355,P2,6.9
213,2663,P1,5.2
214,2663,P2,7.6
215,2217,P1,5.5
216,2217,P2,4.4
217,3053,P1,4.9
218,3053,P2,7.5
219,252,P1,6.0
220,252,P2,7.3
221,7424,P1,4.1
222,7424,P2,9.4
223,7010,P1,3.4
224,7010,P2,4.8
225,8593,P1,5.4
226,8593,P2,8.6
227,3413,P1,7.1
228,3413,P2,8.9
229,4936,P1,4.4
230,4936,P2,4.2
231,3604,P1,5.4
